The Godfather,http://ia.media-imdb.com/images/M/MV5BMjEyMjcyNDI4MF5BMl5BanBnXkFtZTcwMDA5Mzg3OA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BODQxNzk5NzY5MV5BMl5BanBnXkFtZTcwNDIyOTUzOA@@._V1_SX640_SY720_.jpg,['The Godfather: Part II', 'The Shawshank Redemption', 'Pulp Fiction', 'Fight Club', 'The Dark Knight', 'Goodfellas', 'Forrest Gump', "Schindler's List", 'The Godfather: Part III', 'The Lord of the Rings: The Return of the King', 'The Silence of the Lambs', 'Se7en']
The Godfather: Part II,http://ia.media-imdb.com/images/M/MV5BNDc2NTM3MzU1Nl5BMl5BanBnXkFtZTcwMTA5Mzg3OA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjY4Mzg0NjAyM15BMl5BanBnXkFtZTcwNzU0Mzg4Mw@@._V1_SX640_SY720_.jpg,['The Godfather', 'The Godfather: Part III', 'Goodfellas', 'Pulp Fiction', 'The Shawshank Redemption', "Schindler's List", 'Fight Club', 'The Dark Knight', 'Forrest Gump', 'The Lord of the Rings: The Return of the King', 'The Silence of the Lambs', 'Se7en']
Lawrence of Arabia,http://ia.media-imdb.com/images/M/MV5BMzAwMjM4NzA2OV5BMl5BanBnXkFtZTcwMDI0NzAwMQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQ2MzQ3NTg3MV5BMl5BanBnXkFtZTgwMTY3ODk5MTE@._V1_SX640_SY720_.jpg,['The Bridge on the River Kwai', 'Ben-Hur', 'Casablanca', 'Gone with the Wind', 'Citizen Kane', 'The Sting', 'Vertigo', 'To Kill a Mockingbird', 'The Great Escape', 'Amadeus', "Singin' in the Rain", 'Das Boot']
Cocktail,http://ia.media-imdb.com/images/M/MV5BMTkxMzk4OTMwOF5BMl5BanBnXkFtZTcwMzE3ODIyMQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjIzMzI1OTQzNV5BMl5BanBnXkFtZTcwMzA2NDAxMw@@._V1_SX640_SY720_.jpg,['Days of Thunder', 'Top Gun', 'Risky Business', 'The Firm', 'Born on the Fourth of July', 'Jerry Maguire', 'Far and Away', 'The Color of Money', 'A Few Good Men', 'Rain Man', 'All the Right Moves', 'Vanilla Sky']
Splash,http://ia.media-imdb.com/images/M/MV5BMTgyNjg0NzI4NF5BMl5BanBnXkFtZTcwMzE5OTQyMQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQwNjEyMjU3NF5BMl5BanBnXkFtZTgwNDQwNDA4MTE@._V1_SX640_SY720_.jpg,['Turner & Hooch', 'The Money Pit', 'Big', 'Bachelor Party', 'A League of Their Own', 'Cocoon', 'Sleepless in Seattle', 'Dragnet', "The 'Burbs", 'The Man with One Red Shoe', 'Apollo 13', "You've Got Mail"]
Scarface,http://ia.media-imdb.com/images/M/MV5BMjAzOTM4MzEwNl5BMl5BanBnXkFtZTgwMzU1OTc1MDE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTM4NjU0NDE0MV5BMl5BanBnXkFtZTcwMjg0NTAyNw@@._V1_SX640_SY720_.jpg,['Casino', 'Goodfellas', 'The Godfather: Part II', 'The Godfather', 'Reservoir Dogs', 'American History X', 'Taxi Driver', 'The Godfather: Part III', 'Snatch.', 'Se7en', 'The Green Mile', 'The Usual Suspects']
Pretty in Pink,http://ia.media-imdb.com/images/M/MV5BMTI2OTk5NTE5NV5BMl5BanBnXkFtZTcwODA0NTQzMQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTU2MDczNTE2OF5BMl5BanBnXkFtZTgwNTU1ODAxODE@._V1_SX640_SY720_.jpg,['Sixteen Candles', 'The Breakfast Club', "St. Elmo's Fire", "Ferris Bueller's Day Off", 'Weird Science', 'Some Kind of Wonderful', 'Say Anything...', 'Heathers', 'Fast Times at Ridgemont High', 'Clueless', "Can't Buy Me Love", 'Better Off Dead...']
The Running Man,http://ia.media-imdb.com/images/M/MV5BNzM4OTcyMjEyNl5BMl5BanBnXkFtZTcwMzEwNDI4OA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BNTYzNzA2NTg0MV5BMl5BanBnXkFtZTgwNzE3ODIwMjE@._V1_SX640_SY720_.jpg,['Commando', 'True Lies', 'Total Recall', 'Twins', 'Red Heat', 'Eraser', 'Last Action Hero', 'Predator', 'Kindergarten Cop', 'End of Days', 'RoboCop', 'Conan the Barbarian']
Close Encounters of the Third Kind,http://ia.media-imdb.com/images/M/MV5BMjM1NjE5NjQxN15BMl5BanBnXkFtZTgwMjYzMzQxMDE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjA1MTIyMjczMV5BMl5BanBnXkFtZTgwNTQ1NzE2NzE@._V1_SX640_SY720_.jpg,['The Abyss', 'A.I. Artificial Intelligence', 'Contact', 'Empire of the Sun', 'Planet of the Apes', 'Jaws', 'Duel', 'The Color Purple', 'Munich', 'Minority Report', 'War of the Worlds', 'Sphere']
Once Upon a Time in the West,http://ia.media-imdb.com/images/M/MV5BMTEyODQzNDkzNjVeQTJeQWpwZ15BbWU4MDgyODk1NDEx._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTM2NTQ2MzkwNV5BMl5BanBnXkFtZTcwMjU1ODIwNw@@._V1_SX640_SY720_.jpg,['The Good, the Bad and the Ugly', 'For a Few Dollars More', 'A Fistful of Dollars', 'Once Upon a Time in America', 'Seven Samurai', 'Unforgiven', 'Casablanca', 'Once Upon a Time in the Revolution', '12 Angry Men', 'Rear Window', 'Apocalypse Now', 'Psycho']
